date,kwh
2026-01-01,5.6000
2026-01-02,4.5000
2026-01-03,7.5000
2026-01-04,6.5000
2026-01-05,6.0000
2026-01-06,4.5000
2026-01-07,5.0000
2026-01-08,3.6000
2026-01-09,4.9000
2026-01-10,4.6000
2026-01-11,6.0000
2026-01-12,4.6000
2026-01-13,6.5000
2026-01-14,6.8000
2026-01-15,7.8000
2026-01-16,7.4000
2026-01-17,7.1000
2026-01-18,6.9000
2026-01-19,0.4000
2026-01-20,0.0000
2026-01-21,0.0000
2026-01-22,0.0000
2026-01-23,0.0000
2026-01-24,0.0000
2026-01-25,0.0000
2026-01-26,0.0000
2026-01-27,0.0000
2026-01-28,0.0000
2026-01-29,0.0000
2026-01-30,0.0000
2026-01-31,0.0000
