date,kwh
2026-08-01,8.6000
2026-08-02,7.3000
2026-08-03,2.6000
2026-08-04,5.6000
2026-08-05,1.8000
2026-08-06,1.7000
2026-08-07,5.6000
2026-08-08,8.6000
2026-08-09,8.4000
2026-08-10,8.3000
2026-08-11,8.6000
2026-08-12,9.6000
2026-08-13,10.9000
2026-08-14,9.7000
2026-08-15,9.5000
2026-08-16,10.0000
2026-08-17,8.9000
2026-08-18,9.6000
2026-08-19,9.9000
2026-08-20,9.4000
2026-08-21,7.6000
2026-08-22,7.7000
2026-08-23,8.9000
2026-08-24,9.5000
2026-08-25,8.7000
2026-08-26,9.0000
2026-08-27,9.2000
2026-08-28,8.8000
2026-08-29,9.6000
2026-08-30,9.6000
2026-08-31,7.1000
