date,kwh
2026-05-01,2.2000
2026-05-02,2.3000
2026-05-03,2.0000
2026-05-04,2.3000
2026-05-05,1.8000
2026-05-06,2.4000
2026-05-07,2.2000
2026-05-08,2.0000
2026-05-09,1.7000
2026-05-10,1.5000
2026-05-11,0.1000
2026-05-12,0.7000
2026-05-13,0.0000
2026-05-14,0.0000
2026-05-15,0.0000
2026-05-16,0.0000
2026-05-17,0.0000
2026-05-18,0.0000
2026-05-19,0.0000
2026-05-20,0.0000
2026-05-21,0.0000
2026-05-22,0.0000
2026-05-23,0.0000
2026-05-24,0.0000
2026-05-25,0.0000
2026-05-26,0.0000
2026-05-27,0.0000
2026-05-28,0.0000
2026-05-29,0.0000
2026-05-30,0.0000
2026-05-31,0.0000
