date,kwh
2026-06-01,6.4000
2026-06-02,5.6000
2026-06-03,6.2000
2026-06-04,5.6000
2026-06-05,5.4000
2026-06-06,6.1000
2026-06-07,6.6000
2026-06-08,5.7000
2026-06-09,5.6000
2026-06-10,10.0000
2026-06-11,6.9000
2026-06-12,5.6000
2026-06-13,6.4000
2026-06-14,3.8000
2026-06-15,6.0000
2026-06-16,5.4000
2026-06-17,5.6000
2026-06-18,2.3000
2026-06-19,6.8000
2026-06-20,5.7000
2026-06-21,6.4000
2026-06-22,4.6000
2026-06-23,6.0000
2026-06-24,5.8000
2026-06-25,6.3000
2026-06-26,6.2000
2026-06-27,6.1000
2026-06-28,1.0000
