date,kwh
2026-02-01,15.4880
2026-02-02,11.0560
2026-02-03,12.7780
2026-02-04,9.6310
2026-02-05,9.4630
2026-02-06,8.1950
2026-02-07,13.5330
2026-02-08,12.6330
2026-02-09,11.5130
2026-02-10,8.7260
2026-02-11,16.4040
2026-02-12,13.5960
2026-02-13,13.1510
2026-02-14,10.6060
2026-02-15,9.5630
2026-02-16,14.9300
2026-02-17,8.3490
2026-02-18,13.0130
2026-02-19,13.2590
2026-02-20,11.5720
2026-02-21,11.2340
2026-02-22,15.5710
2026-02-23,16.1380
2026-02-24,16.2640
2026-02-25,16.3740
2026-02-26,16.1280
2026-02-27,14.5360
2026-02-28,2.0770
