date,kwh
2026-09-01,6.8000
2026-09-02,7.3000
2026-09-03,7.5000
2026-09-04,7.2000
2026-09-05,6.8000
2026-09-06,5.3000
2026-09-07,7.1000
2026-09-08,6.9000
2026-09-09,6.7000
2026-09-10,4.6000
2026-09-11,0.0000
2026-09-12,0.0000
2026-09-13,0.0000
2026-09-14,0.0000
2026-09-15,0.0000
2026-09-16,0.0000
2026-09-17,0.0000
2026-09-18,0.0000
2026-09-19,0.0000
2026-09-20,0.0000
2026-09-21,0.0000
2026-09-22,0.0000
2026-09-23,0.0000
2026-09-24,0.0000
2026-09-25,0.0000
2026-09-26,0.0000
2026-09-27,0.0000
2026-09-28,0.0000
2026-09-29,0.0000
2026-09-30,0.0000
