date,kwh
2026-02-01,5.4000
2026-02-02,4.8000
2026-02-03,4.2000
2026-02-04,5.3000
2026-02-05,4.4000
2026-02-06,0.3000
2026-02-07,5.3000
2026-02-08,1.8000
2026-02-09,5.8000
2026-02-10,4.7000
2026-02-11,4.9000
2026-02-12,4.0000
2026-02-13,4.6000
2026-02-14,4.7000
2026-02-15,5.3000
2026-02-16,5.1000
2026-02-17,5.3000
2026-02-18,5.1000
2026-02-19,5.0000
2026-02-20,4.7000
2026-02-21,6.1000
2026-02-22,3.9000
2026-02-23,0.0000
2026-02-24,0.0000
2026-02-25,0.0000
2026-02-26,0.0000
2026-02-27,0.0000
2026-02-28,0.0000
