date,kwh
2026-04-01,5.1000
2026-04-02,3.8000
2026-04-03,4.7000
2026-04-04,4.7000
2026-04-05,4.9000
2026-04-06,3.9000
2026-04-07,5.0000
2026-04-08,4.8000
2026-04-09,4.6000
2026-04-10,4.5000
2026-04-11,3.6000
2026-04-12,3.6000
2026-04-13,3.3000
2026-04-14,4.5000
2026-04-15,4.4000
2026-04-16,4.7000
2026-04-17,4.5000
2026-04-18,4.9000
2026-04-19,5.3000
2026-04-20,4.8000
2026-04-21,4.9000
2026-04-22,4.3000
2026-04-23,4.1000
2026-04-24,0.4000
2026-04-25,0.0000
2026-04-26,0.0000
2026-04-27,0.0000
2026-04-28,0.0000
2026-04-29,0.0000
2026-04-30,0.0000
