date,kwh
2026-08-01,6.0000
2026-08-02,8.4000
2026-08-03,1.6000
2026-08-04,5.3000
2026-08-05,8.2000
2026-08-06,8.7000
2026-08-07,7.6000
2026-08-08,7.4000
2026-08-09,7.3000
2026-08-10,7.1000
2026-08-11,7.1000
2026-08-12,9.6000
2026-08-13,9.1000
2026-08-14,8.1000
2026-08-15,10.7000
2026-08-16,8.4000
2026-08-17,7.4000
2026-08-18,9.2000
2026-08-19,9.7000
2026-08-20,8.7000
2026-08-21,9.8000
2026-08-22,10.2000
2026-08-23,10.0000
2026-08-24,8.4000
2026-08-25,8.2000
2026-08-26,7.6000
2026-08-27,8.1000
2026-08-28,8.4000
2026-08-29,9.4000
2026-08-30,9.0000
2026-08-31,6.6000
