date,kwh
2025-12-01,8.1000
2025-12-02,8.1000
2025-12-03,8.7000
2025-12-04,9.2000
2025-12-05,9.3000
2025-12-06,8.3000
2025-12-07,6.6000
2025-12-08,8.5000
2025-12-09,7.6000
2025-12-10,8.0000
2025-12-11,9.7000
2025-12-12,8.2000
2025-12-13,11.1000
2025-12-14,8.0000
2025-12-15,9.8000
2025-12-16,10.2000
2025-12-17,8.5000
2025-12-18,7.4000
2025-12-19,10.0000
2025-12-20,11.9000
2025-12-21,6.8000
2025-12-22,11.4000
2025-12-23,12.7000
2025-12-24,9.0000
2025-12-25,12.1000
2025-12-26,10.9000
2025-12-27,7.9000
2025-12-28,11.5000
2025-12-29,11.9000
2025-12-30,10.7000
2025-12-31,11.5000
