date,kwh
2026-04-01,5.6000
2026-04-02,4.5000
2026-04-03,6.3000
2026-04-04,5.3000
2026-04-05,6.0000
2026-04-06,5.9000
2026-04-07,6.5000
2026-04-08,6.0000
2026-04-09,6.8000
2026-04-10,6.1000
2026-04-11,5.6000
2026-04-12,5.1000
2026-04-13,5.0000
2026-04-14,6.4000
2026-04-15,6.8000
2026-04-16,6.5000
2026-04-17,7.0000
2026-04-18,5.7000
2026-04-19,5.7000
2026-04-20,6.3000
2026-04-21,6.6000
2026-04-22,5.9000
2026-04-23,6.4000
2026-04-24,2.2000
2026-04-25,0.0000
2026-04-26,0.0000
2026-04-27,0.0000
2026-04-28,0.0000
2026-04-29,0.0000
2026-04-30,0.0000
