date,kwh
2025-12-01,6.1000
2025-12-02,7.4000
2025-12-03,7.5000
2025-12-04,0.4000
2025-12-05,0.0000
2025-12-06,0.0000
2025-12-07,0.0000
2025-12-08,0.0000
2025-12-09,0.0000
2025-12-10,0.0000
2025-12-11,5.3000
2025-12-12,6.4000
2025-12-13,7.8000
2025-12-14,8.4000
2025-12-15,8.3000
2025-12-16,7.3000
2025-12-17,4.4000
2025-12-18,4.2000
2025-12-19,5.0000
2025-12-20,6.5000
2025-12-21,6.6000
2025-12-22,7.6000
2025-12-23,8.0000
2025-12-24,8.0000
2025-12-25,8.4000
2025-12-26,7.8000
2025-12-27,6.9000
2025-12-28,7.4000
2025-12-29,7.3000
2025-12-30,7.5000
2025-12-31,6.3000
