date,kwh
2026-06-01,11.7000
2026-06-02,11.8000
2026-06-03,9.3000
2026-06-04,8.0000
2026-06-05,11.4000
2026-06-06,11.9000
2026-06-07,8.4000
2026-06-08,8.8000
2026-06-09,11.3000
2026-06-10,11.8000
2026-06-11,5.7000
2026-06-12,6.6000
2026-06-13,6.1000
2026-06-14,11.6000
2026-06-15,10.4000
2026-06-16,10.5000
2026-06-17,9.1000
2026-06-18,2.0000
2026-06-19,9.8000
2026-06-20,9.9000
2026-06-21,8.2000
2026-06-22,3.7000
2026-06-23,8.9000
2026-06-24,5.6000
2026-06-25,0.0000
2026-06-26,0.0000
2026-06-27,0.0000
2026-06-28,0.0000
2026-06-29,0.0000
2026-06-30,0.0000
