date,kwh
2026-01-01,13.1000
2026-01-02,11.1000
2026-01-03,17.3000
2026-01-04,14.3000
2026-01-05,12.3000
2026-01-06,11.4000
2026-01-07,12.2000
2026-01-08,9.0000
2026-01-09,12.0000
2026-01-10,13.4000
2026-01-11,12.7000
2026-01-12,9.4000
2026-01-13,13.0000
2026-01-14,9.4000
2026-01-15,11.0000
2026-01-16,13.1000
2026-01-17,9.4000
2026-01-18,10.7000
2026-01-19,9.8000
2026-01-20,7.8000
2026-01-21,12.0000
2026-01-22,12.1000
2026-01-23,12.2000
2026-01-24,9.4000
2026-01-25,9.5000
2026-01-26,9.5000
2026-01-27,11.3000
2026-01-28,12.1000
2026-01-29,12.0000
2026-01-30,2.5000
2026-01-31,0.0000
