date,kwh
2026-02-01,3.2000
2026-02-02,3.2000
2026-02-03,2.9000
2026-02-04,2.6000
2026-02-05,2.7000
2026-02-06,2.0000
2026-02-07,3.6000
2026-02-08,2.8000
2026-02-09,3.3000
2026-02-10,3.1000
2026-02-11,3.2000
2026-02-12,3.2000
2026-02-13,3.5000
2026-02-14,2.7000
2026-02-15,2.6000
2026-02-16,2.9000
2026-02-17,2.5000
2026-02-18,3.0000
2026-02-19,2.8000
2026-02-20,2.5000
2026-02-21,2.6000
2026-02-22,2.6000
2026-02-23,3.0000
2026-02-24,0.0000
2026-02-25,0.0000
2026-02-26,0.0000
2026-02-27,0.0000
2026-02-28,0.0000
