date,kwh
2026-06-01,12.3000
2026-06-02,9.5000
2026-06-03,9.2000
2026-06-04,10.1000
2026-06-05,9.5000
2026-06-06,9.6000
2026-06-07,10.0000
2026-06-08,10.3000
2026-06-09,9.9000
2026-06-10,9.6000
2026-06-11,9.7000
2026-06-12,8.8000
2026-06-13,10.0000
2026-06-14,11.0000
2026-06-15,9.6000
2026-06-16,9.3000
2026-06-17,7.8000
2026-06-18,12.3000
2026-06-19,12.8000
2026-06-20,8.9000
2026-06-21,8.0000
2026-06-22,6.5000
2026-06-23,10.8000
2026-06-24,12.2000
2026-06-25,10.2000
2026-06-26,9.2000
2026-06-27,9.3000
2026-06-28,10.4000
2026-06-29,0.0000
2026-06-30,0.0000
