date,kwh
2026-02-01,0.0000
2026-02-02,6.9000
2026-02-03,8.6000
2026-02-04,5.3000
2026-02-05,6.1000
2026-02-06,3.9000
2026-02-07,7.0000
2026-02-08,5.6000
2026-02-09,8.7000
2026-02-10,9.3000
2026-02-11,9.2000
2026-02-12,7.1000
2026-02-13,8.0000
2026-02-14,5.9000
2026-02-15,5.7000
2026-02-16,8.7000
2026-02-17,5.1000
2026-02-18,7.4000
2026-02-19,0.0000
2026-02-20,0.0000
2026-02-21,0.0000
2026-02-22,0.0000
2026-02-23,0.0000
2026-02-24,0.0000
2026-02-25,0.0000
2026-02-26,0.0000
2026-02-27,0.0000
2026-02-28,0.0000
