date,kwh
2026-06-01,4.5000
2026-06-02,1.8000
2026-06-03,1.3000
2026-06-04,4.3000
2026-06-05,0.4000
2026-06-06,4.5000
2026-06-07,4.7000
2026-06-08,0.7000
2026-06-09,1.6000
2026-06-10,0.4000
2026-06-11,0.7000
2026-06-12,0.4000
2026-06-13,2.2000
2026-06-14,3.9000
2026-06-15,1.0000
2026-06-16,3.5000
2026-06-17,0.0000
2026-06-18,3.1000
2026-06-19,1.1000
2026-06-20,3.5000
2026-06-21,3.2000
2026-06-22,0.9000
2026-06-23,0.8000
2026-06-24,0.0000
2026-06-25,1.0000
2026-06-26,3.7000
2026-06-27,1.9000
2026-06-28,4.3000
2026-06-29,3.2000
2026-06-30,1.3000
